ChineseName,EnglishName,StateName,StateNameEn,CountryName,CountryNameEn
东城,Dongcheng,北京,Beijing,中国,China
西城,Xicheng,北京,Beijing,中国,China
朝阳,Chaoyang,北京,Beijing,中国,China
丰台,Fengtai,北京,Beijing,中国,China
石景山,Shijingshan,北京,Beijing,中国,China
海淀,Haidian,北京,Beijing,中国,China
门头沟,Mentougou,北京,Beijing,中国,China
房山,Fangshan,北京,Beijing,中国,China
通州,Tongzhou,北京,Beijing,中国,China
顺义,Shunyi,北京,Beijing,中国,China
昌平,Changping,北京,Beijing,中国,China
大兴,Daxing,北京,Beijing,中国,China
平谷,Pinggu,北京,Beijing,中国,China
怀柔,Huairou,北京,Beijing,中国,China
密云,Miyun,北京,Beijing,中国,China
延庆,Yanqing,北京,Beijing,中国,China
和平,Heping,天津,Tianjin,中国,China
河东,Hedong,天津,Tianjin,中国,China
河西,Hexi,天津,Tianjin,中国,China
南开,Nankai,天津,Tianjin,中国,China
河北,Hebei,天津,Tianjin,中国,China
红桥,Hongqiao,天津,Tianjin,中国,China
东丽,Dongli,天津,Tianjin,中国,China
西青,Xiqing,天津,Tianjin,中国,China
津南,Jinnan,天津,Tianjin,中国,China
北辰,Beichen,天津,Tianjin,中国,China
宁河,Ninghe,天津,Tianjin,中国,China
武清,Wuqing,天津,Tianjin,中国,China
静海,Jinghai,天津,Tianjin,中国,China
宝坻,Baodi,天津,Tianjin,中国,China
蓟县,Jixian,天津,Tianjin,中国,China
石家庄,Shijiazhuang,河北,Hebei,中国,China
唐山,Tangshan,河北,Hebei,中国,China
秦皇岛,Qinhuangdao,河北,Hebei,中国,China
邯郸,Handan,河北,Hebei,中国,China
邢台,Xingtai,河北,Hebei,中国,China
保定,Baoding,河北,Hebei,中国,China
张家口,Zhangjiakou,河北,Hebei,中国,China
承德,Chengde,河北,Hebei,中国,China
沧州,Cangzhou,河北,Hebei,中国,China
廊坊,Langfang,河北,Hebei,中国,China
衡水,Hengshui,河北,Hebei,中国,China
太原,Taiyuan,山西,Shanxi,中国,China
大同,Datong,山西,Shanxi,中国,China
阳泉,Yangquan,山西,Shanxi,中国,China
长治,Changzhi,山西,Shanxi,中国,China
晋城,Jincheng,山西,Shanxi,中国,China
朔州,Shuozhou,山西,Shanxi,中国,China
晋中,Jinzhong,山西,Shanxi,中国,China
运城,Yuncheng,山西,Shanxi,中国,China
忻州,Xinzhou,山西,Shanxi,中国,China
临汾,Linfen,山西,Shanxi,中国,China
吕梁,luliang,山西,Shanxi,中国,China
呼和浩特,Hohhot,内蒙古,Inner Mongolia,中国,China
包头,Baotou,内蒙古,Inner Mongolia,中国,China
乌海,Wuhai,内蒙古,Inner Mongolia,中国,China
赤峰,Chifeng,内蒙古,Inner Mongolia,中国,China
通辽,Tongliao,内蒙古,Inner Mongolia,中国,China
鄂尔多斯,Ordos,内蒙古,Inner Mongolia,中国,China
呼伦贝尔,Hulun Buir,内蒙古,Inner Mongolia,中国,China
巴彦淖尔,Bayannur,内蒙古,Inner Mongolia,中国,China
乌兰察布,Ulan Qab,内蒙古,Inner Mongolia,中国,China
兴安,Xing'an,内蒙古,Inner Mongolia,中国,China
锡林郭勒,Xilin Gol,内蒙古,Inner Mongolia,中国,China
阿拉善,Alxa,内蒙古,Inner Mongolia,中国,China
沈阳,Shenyang,辽宁,Liaoning,中国,China
大连,Dalian,辽宁,Liaoning,中国,China
鞍山,Anshan,辽宁,Liaoning,中国,China
抚顺,Fushun,辽宁,Liaoning,中国,China
本溪,Benxi,辽宁,Liaoning,中国,China
丹东,Dandong,辽宁,Liaoning,中国,China
锦州,Jinzhou,辽宁,Liaoning,中国,China
营口,Yingkou,辽宁,Liaoning,中国,China
阜新,Fuxin,辽宁,Liaoning,中国,China
辽阳,Liaoyang,辽宁,Liaoning,中国,China
盘锦,Panjin,辽宁,Liaoning,中国,China
铁岭,Tieling,辽宁,Liaoning,中国,China
朝阳,Chaoyang,辽宁,Liaoning,中国,China
葫芦岛,Huludao,辽宁,Liaoning,中国,China
长春,Changchun,吉林,Jilin,中国,China
吉林,Jilin,吉林,Jilin,中国,China
四平,Siping,吉林,Jilin,中国,China
辽源,Liaoyuan,吉林,Jilin,中国,China
通化,Tonghua,吉林,Jilin,中国,China
白山,Baishan,吉林,Jilin,中国,China
松原,Songyuan,吉林,Jilin,中国,China
白城,Baicheng,吉林,Jilin,中国,China
延边,Yanbian Korean Autonomous Prefecture,吉林,Jilin,中国,China
哈尔滨,Harbin,黑龙江,Heilongjiang,中国,China
齐齐哈尔,Qiqihar,黑龙江,Heilongjiang,中国,China
鸡西,Jixi,黑龙江,Heilongjiang,中国,China
鹤岗,Hegang,黑龙江,Heilongjiang,中国,China
双鸭山,Shuangyashan,黑龙江,Heilongjiang,中国,China
大庆,Daqing,黑龙江,Heilongjiang,中国,China
伊春,Yichun,黑龙江,Heilongjiang,中国,China
佳木斯,Jiamusi,黑龙江,Heilongjiang,中国,China
七台河,Qitaihe,黑龙江,Heilongjiang,中国,China
牡丹江,Mudanjiang,黑龙江,Heilongjiang,中国,China
黑河,Heihe,黑龙江,Heilongjiang,中国,China
绥化,Suihua,黑龙江,Heilongjiang,中国,China
大兴安岭,Da Hinggan Ling,黑龙江,Heilongjiang,中国,China
黄浦,Huangpu,上海,Shanghai,中国,China
卢湾,Luwan,上海,Shanghai,中国,China
徐汇,Xuhui,上海,Shanghai,中国,China
长宁,Changning,上海,Shanghai,中国,China
静安,Jing'an,上海,Shanghai,中国,China
普陀,Putuo,上海,Shanghai,中国,China
闸北,Zhabei,上海,Shanghai,中国,China
虹口,Hongkou,上海,Shanghai,中国,China
杨浦,Yangpu,上海,Shanghai,中国,China
闵行,Minhang,上海,Shanghai,中国,China
宝山,Baoshan,上海,Shanghai,中国,China
嘉定,Jiading,上海,Shanghai,中国,China
浦东新,Pudongxin,上海,Shanghai,中国,China
金山,Jinshan,上海,Shanghai,中国,China
松江,Songjiang,上海,Shanghai,中国,China
奉贤,Fengxian,上海,Shanghai,中国,China
青浦,Qingpu,上海,Shanghai,中国,China
崇明,Chongming,上海,Shanghai,中国,China
南京,Nanjing,江苏,Jiangsu,中国,China
无锡,Wuxi,江苏,Jiangsu,中国,China
徐州,Xuzhou,江苏,Jiangsu,中国,China
常州,Changzhou,江苏,Jiangsu,中国,China
苏州,Suzhou,江苏,Jiangsu,中国,China
南通,Nantong,江苏,Jiangsu,中国,China
连云港,Lianyungang,江苏,Jiangsu,中国,China
淮安,Huai'an,江苏,Jiangsu,中国,China
盐城,Yancheng,江苏,Jiangsu,中国,China
扬州,Yangzhou,江苏,Jiangsu,中国,China
镇江,Zhenjiang,江苏,Jiangsu,中国,China
泰州,Taizhou,江苏,Jiangsu,中国,China
宿迁,Suqian,江苏,Jiangsu,中国,China
杭州,Hangzhou,浙江,Zhejiang,中国,China
宁波,Ningbo,浙江,Zhejiang,中国,China
温州,Wenzhou,浙江,Zhejiang,中国,China
嘉兴,Jiaxing,浙江,Zhejiang,中国,China
湖州,Huzhou,浙江,Zhejiang,中国,China
绍兴,Shaoxing,浙江,Zhejiang,中国,China
金华,Jinhua,浙江,Zhejiang,中国,China
衢州,Quzhou,浙江,Zhejiang,中国,China
舟山,Zhoushan,浙江,Zhejiang,中国,China
台州,Taizhou,浙江,Zhejiang,中国,China
